,,,,,,,
,📄  PDFs,,,,,,
,Library of every PDF the site can render. One row per PDF. The chapter pages look up rows by Paper + Ch#.,,,,,,
,,,,,,,
,Category,Paper,Ch#,Title,Path,Pages,Notes
,ICAI Study Material,P4,,Initial Pages — Module 1,icai/study-material/p4-costing/ip-m1.pdf,,"Front matter, syllabus, index"
,ICAI Study Material,P4,1,Introduction to Cost & Management Accounting,icai/study-material/p4-costing/ch01.pdf,,
,ICAI Study Material,P4,2,Material Cost,icai/study-material/p4-costing/ch02.pdf,,
,ICAI Study Material,P4,3,Employee Cost & Direct Expenses,icai/study-material/p4-costing/ch03.pdf,,
,ICAI Study Material,P4,4,Overheads — Absorption Costing,icai/study-material/p4-costing/ch04.pdf,,
,ICAI Study Material,P4,5,Activity Based Costing,icai/study-material/p4-costing/ch05.pdf,,
,ICAI Study Material,P4,6,Cost Sheet,icai/study-material/p4-costing/ch06.pdf,,
,ICAI Study Material,P4,7,Cost Accounting Systems,icai/study-material/p4-costing/ch07.pdf,,
,ICAI Study Material,P4,,Initial Pages — Module 2,icai/study-material/p4-costing/ip-m2.pdf,,
,ICAI Study Material,P4,8,Unit & Batch Costing,icai/study-material/p4-costing/ch08.pdf,,
,ICAI Study Material,P4,9,Job Costing,icai/study-material/p4-costing/ch09.pdf,,
,ICAI Study Material,P4,10,Process & Operation Costing,icai/study-material/p4-costing/ch10.pdf,,
,ICAI Study Material,P4,11,Joint Products & By-Products,icai/study-material/p4-costing/ch11.pdf,,
,ICAI Study Material,P4,12,Service Costing,icai/study-material/p4-costing/ch12.pdf,,
,ICAI Study Material,P4,13,Standard Costing,icai/study-material/p4-costing/ch13.pdf,,
,ICAI Study Material,P4,14,Marginal Costing,icai/study-material/p4-costing/ch14.pdf,,
,ICAI Study Material,P4,15,Budgets & Budgetary Control,icai/study-material/p4-costing/ch15.pdf,,
,ICAI Study Material,P5,,Initial Pages — Module 1,icai/study-material/p5-audit/ip-m1.pdf,,
,ICAI Study Material,P5,1,"Nature, Objective & Scope of Audit",icai/study-material/p5-audit/ch01.pdf,,
,ICAI Study Material,P5,2,"Audit Strategy, Audit Planning & Audit Programme",icai/study-material/p5-audit/ch02.pdf,,
,ICAI Study Material,P5,3,Risk Assessment & Internal Control,icai/study-material/p5-audit/ch03.pdf,,
,ICAI Study Material,P5,4,Audit Evidence,icai/study-material/p5-audit/ch04.pdf,,
,ICAI Study Material,P5,5,Audit of Items of Financial Statements,icai/study-material/p5-audit/ch05.pdf,,~18% paper weightage
,ICAI Study Material,P5,,Initial Pages — Module 2,icai/study-material/p5-audit/ip-m2.pdf,,
,ICAI Study Material,P5,6,Audit Documentation,icai/study-material/p5-audit/ch06.pdf,,
,ICAI Study Material,P5,7,Completion & Review,icai/study-material/p5-audit/ch07.pdf,,
,ICAI Study Material,P5,8,Audit Report,icai/study-material/p5-audit/ch08.pdf,,
,ICAI Study Material,P5,9,Special Features of Audit of Different Types of Entities,icai/study-material/p5-audit/ch09.pdf,,
,ICAI Study Material,P5,10,Audit of Banks,icai/study-material/p5-audit/ch10.pdf,,
,ICAI Study Material,P5,11,Ethics & Terms of Audit Engagements,icai/study-material/p5-audit/ch11.pdf,,
,ICAI Study Material,P6A,,Initial Pages — Module 1,icai/study-material/p6a-fm/ip-m1.pdf,,
,ICAI Study Material,P6A,1,Scope & Objectives of Financial Management,icai/study-material/p6a-fm/ch01.pdf,,
,ICAI Study Material,P6A,2,Types of Financing,icai/study-material/p6a-fm/ch02.pdf,,
,ICAI Study Material,P6A,3,Financial Analysis & Planning — Ratio Analysis,icai/study-material/p6a-fm/ch03.pdf,,
,ICAI Study Material,P6A,4,Cost of Capital,icai/study-material/p6a-fm/ch04.pdf,,~14% paper weightage
,ICAI Study Material,P6A,5,Financing Decisions — Capital Structure,icai/study-material/p6a-fm/ch05.pdf,,
,ICAI Study Material,P6A,6,Financing Decisions — Leverages,icai/study-material/p6a-fm/ch06.pdf,,
,ICAI Study Material,P6A,,Appendix — Module 1,icai/study-material/p6a-fm/appdx-m1.pdf,,
,ICAI Study Material,P6A,,Initial Pages — Module 2,icai/study-material/p6a-fm/ip-m2.pdf,,
,ICAI Study Material,P6A,7,Investment Decisions (Capital Budgeting),icai/study-material/p6a-fm/ch07.pdf,,~16% paper weightage
,ICAI Study Material,P6A,8,Dividend Decision,icai/study-material/p6a-fm/ch08.pdf,,
,ICAI Study Material,P6A,9,WCM Unit I — Introduction to Working Capital Mgmt,icai/study-material/p6a-fm/ch09u1.pdf,,
,ICAI Study Material,P6A,10,WCM Unit II — Treasury & Cash Management,icai/study-material/p6a-fm/ch09u2.pdf,,
,ICAI Study Material,P6A,11,WCM Unit III — Management of Inventory,icai/study-material/p6a-fm/ch09u3.pdf,,
,ICAI Study Material,P6A,12,WCM Unit IV — Management of Receivables,icai/study-material/p6a-fm/ch09u4.pdf,,
,ICAI Study Material,P6A,13,WCM Unit V — Management of Payables (Creditors),icai/study-material/p6a-fm/ch09u5.pdf,,
,ICAI Study Material,P6A,14,WCM Unit VI — Financing of Working Capital,icai/study-material/p6a-fm/ch09u6.pdf,,
,ICAI Study Material,P6A,,Appendix — Module 2,icai/study-material/p6a-fm/appdx-m2.pdf,,
,ICAI Study Material,P6B,,Initial Pages,icai/study-material/p6b-sm/ip.pdf,,
,ICAI Study Material,P6B,1,Introduction to Strategic Management,icai/study-material/p6b-sm/ch01.pdf,,
,ICAI Study Material,P6B,2,Strategic Analysis — External Environment,icai/study-material/p6b-sm/ch02.pdf,,
,ICAI Study Material,P6B,3,Strategic Analysis — Internal Environment,icai/study-material/p6b-sm/ch03.pdf,,
,ICAI Study Material,P6B,4,Strategic Choices,icai/study-material/p6b-sm/ch04.pdf,,~22% paper weightage
,ICAI Study Material,P6B,5,Strategy Implementation & Evaluation,icai/study-material/p6b-sm/ch05.pdf,,
,RTP,P4,,RTP · May 2025 · Costing,icai/rtp/p4-may2025.pdf,,
,RTP,P5,,RTP · May 2025 · Audit & Ethics,icai/rtp/p5-may2025.pdf,,
,RTP,P6,,RTP · May 2025 · FM & SM,icai/rtp/p6-may2025.pdf,,
,RTP,P4,,RTP · Sep 2025 · Costing,icai/rtp/p4-sep2025.pdf,,
,RTP,P5,,RTP · Sep 2025 · Audit & Ethics,icai/rtp/p5-sep2025.pdf,,
,RTP,P6,,RTP · Sep 2025 · FM & SM,icai/rtp/p6-sep2025.pdf,,
,RTP,P4,,RTP · Jan 2026 · Costing,icai/rtp/p4-jan2026.pdf,,
,RTP,P5,,RTP · Jan 2026 · Audit & Ethics,icai/rtp/p5-jan2026.pdf,,
,RTP,P6,,RTP · Jan 2026 · FM & SM,icai/rtp/p6-jan2026.pdf,,
,RTP,P4,,RTP · May 2026 · Costing,icai/rtp/p4-may2026.pdf,,Latest
,RTP,P5,,RTP · May 2026 · Audit & Ethics,icai/rtp/p5-may2026.pdf,,Latest
,RTP,P6,,RTP · May 2026 · FM & SM,icai/rtp/p6-may2026.pdf,,Latest
,QP,P4,,QP & Suggested · May 2024 · Costing,icai/qp/p4-may2024.pdf,,
,QP,P5,,QP & Suggested · May 2024 · Audit & Ethics,icai/qp/p5-may2024.pdf,,
,QP,P6,,QP & Suggested · May 2024 · FM & SM,icai/qp/p6-may2024.pdf,,
,QP,P4,,QP & Suggested · Sep 2024 · Costing,icai/qp/p4-sep2024.pdf,,
,QP,P5,,QP & Suggested · Sep 2024 · Audit & Ethics,icai/qp/p5-sep2024.pdf,,
,QP,P6,,QP & Suggested · Sep 2024 · FM & SM,icai/qp/p6-sep2024.pdf,,
,QP,P4,,QP & Suggested · Jan 2025 · Costing,icai/qp/p4-jan2025.pdf,,
,QP,P5,,QP & Suggested · Jan 2025 · Audit & Ethics,icai/qp/p5-jan2025.pdf,,
,QP,P6,,QP & Suggested · Jan 2025 · FM & SM,icai/qp/p6-jan2025.pdf,,
,QP,P4,,QP & Suggested · May 2025 · Costing,icai/qp/p4-may2025.pdf,,
,QP,P5,,QP & Suggested · May 2025 · Audit & Ethics,icai/qp/p5-may2025.pdf,,
,QP,P6,,QP & Suggested · May 2025 · FM & SM,icai/qp/p6-may2025.pdf,,
,QP,P4,,QP & Suggested · Sep 2025 · Costing,icai/qp/p4-sep2025.pdf,,
,QP,P5,,QP & Suggested · Sep 2025 · Audit & Ethics,icai/qp/p5-sep2025.pdf,,
,QP,P6,,QP & Suggested · Sep 2025 · FM & SM,icai/qp/p6-sep2025.pdf,,
,QP,P4,,QP & Suggested · Jan 2026 · Costing,icai/qp/p4-jan2026.pdf,,
,QP,P5,,QP & Suggested · Jan 2026 · Audit & Ethics,icai/qp/p5-jan2026.pdf,,
,QP,P6,,QP & Suggested · Jan 2026 · FM & SM,icai/qp/p6-jan2026.pdf,,
,QP,P4,,QP & Suggested · May 2026 · Costing,icai/qp/p4-may2026.pdf,,Most recent
,QP,P5,,QP & Suggested · May 2026 · Audit & Ethics,icai/qp/p5-may2026.pdf,,Most recent
,QP,P6,,QP & Suggested · May 2026 · FM & SM,icai/qp/p6-may2026.pdf,,Most recent
